Attribute Name,Security Name,Security Description,Has Position,Is Active Security,Lot Size,BBG Unique Name,CUSIP,ISIN,SEDOL,Bloomberg Ticker,Bloomberg Unique ID,BBG Global ID,Ticker and Exchange,Is ADR Flag,ADR Underlying Ticker,ADR Underlying Currency,Shares Per ADR,IPO Date,Pricing Currency,Settle Days,Total Shares Outstanding,Voting Rights Per Share,Average Volume - 20D,Beta,Short Interest,Return - YTD,Volatility - 90D,PF Asset Class,PF Country,PF Credit Rating,PF Currency,PF Instrument,PF Liquidity Profile,PF Maturity,PF NAICS Code,PF Region,PF Sector,PF Sub Asset Class,Country of Issuance,Exchange,Issuer,Issue Currency,Trading Currency,BBG Industry Sub Group,Bloomberg Industry Group,Bloomberg Sector,Country of Incorporation,Risk Currency,Open Price,Close Price,Volume,Last Price,Ask Price,Bid Price,PE Ratio,Dividend Declared Date,Dividend Ex Date,Dividend Record Date,Dividend Pay Date,Dividend Amount,Frequency,Dividend Type
,IBM US,International Business Machines Corp,TRUE,TRUE,100,IBM US,459200101,US4592001014,2005973,IBM,EQ0010080100001000,BBG000BLNNH6,IBM US,FALSE,,,,,USD,2,989660472,1,5956690,0.730193496,21437944,-10.36328,18.675095229,Equity,United States of America,AA+,United States Dollar (USD),Securities,<7 Days,,Computer & Peripheral Equipment Mfg,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,IBM,USD,USD,Computer Software,Computers,Technology,UNITED STATES,USD,164.16,164.16,3817529,164.16,187.68,187.67,9.762407279,01-Jan-2015,15-Jan-2015,20-Jan-2015,01-Feb-2015,1.12,,Cash
,SAMSUNG C&T CORP,SAMSUNG C&T CORP,TRUE,TRUE,100,SAMSUNG C&T CORP,,KR7000830000,6771601,KS,EQ0011792500001001,,KS KR,FALSE,,,,,KRW,2,,1,0,1,0,0,,Equity,South Korea,A-,South Korean Won,Securities,<7 Days,,,Asia and Pacific (other than the middle east),,Other listed equity,SOUTH KOREA,KOSPI,Samsung C&T Corporation,KRW,KRW,Distribution/Wholesale,Distribution/Wholesale,"Consumer, Cyclical",SOUTH KOREA,KRW,1378000,1377992,0,1378000,1381025,1381000,19.77,02-Jan-2015,15-Jan-2015,20-Jan-2015,02-Feb-2015,0.8,,Cash
,YELP US,YELP INC,TRUE,TRUE,100,YELP US,985817105,US9858171054,B7KCD72,YELP,EQ0000000009491916,BBG000Q2HM09,YELP US,FALSE,,,,,USD,2,61694162,1,0,2.181018353,0,0,,Equity,United States of America,A-,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,YELP,USD,USD,Internet Content-Info/Ne,Internet,Communications,UNITED STATES,USD,82.03,82.86,439147,82.22,82.22,82.12,23.54,03-Jan-2015,15-Jan-2015,20-Jan-2015,03-Feb-2015,0.45,,Cash
,EBAY US,EBAY INC,TRUE,TRUE,100,EBAY US,278642103,US2786421030,2293819,EBAY,EQ0034854600001000,BBG000C43RR5,EBAY US,FALSE,,,,,USD,2,1242367268,1,9340867,0.852474809,17262801,0.1603709,25.378387143,Equity,United States of America,AA-,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,eBay Inc,USD,USD,E-Commerce/Products,Internet,Communications,UNITED STATES,USD,56.38,56.12,5901204,56.21,56.2,56.19,12.67,04-Jan-2015,15-Jan-2015,20-Jan-2015,04-Feb-2015,0.335,,Cash
,ADT US,ADT CORP/THE,TRUE,TRUE,100,ADT US,00101J106,US00101J1060,B7XWRM2,ADT,EQ0000000025528823,BBG003641015,ADT US,FALSE,,,,,USD,2,174527463,1,2409494.5,1.442431211,38769617,-8.053606,30.28861496,Equity,United States of America,AA+,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,ADT Corp/The,USD,USD,Security Services,Commercial Services,"Consumer, Non-cyclical",UNITED STATES,USD,36,36.14,1535032,36.33,36.35,36.34,17.87680888,05-Jan-2015,15-Jan-2015,20-Jan-2015,05-Feb-2015,0.2,,Cash
,CEVA HOLDINGS LLC,CEVA HOLDINGS LLC,TRUE,TRUE,100,CEVA HOLDINGS LLC,,,,0813700D,EQ0000000030351217,BBG004MKGLD4,0813700D MH,FALSE,,,,,GBP,2,44300000,1,0,1,0,0,,Equity,Marshall Islands,BBB+,Great Britain Pound Sterling (GBP),Securities,<7 Days,,,Europe (EEA),,Other listed equity,BRITAIN,NYSE LIFFE - London,CEVA Holdings LLC,GBP,GBP,Transport-Services,Transportation,Industrial,MARSHALL ISLAND,GBP,17.78,18,0,18,19.32,19.08,45.21,06-Jan-2015,15-Jan-2015,20-Jan-2015,06-Feb-2015,0,,Cash
,AF FP,AIR FRANCE-KLM,TRUE,TRUE,100,AF FP,,FR0000031122,4916039,AF,EQ0015604900001000,BBG000K79P88,AF FR,FALSE,,,,,EUR,2,300219278,1,3520425,1.353079,0,1.469112,45.36775,Equity,France,BBB+,Euro (EUR),Securities,<7 Days,,,Europe (EEA),,Other listed equity,FRANCE,Euronext Paris,AIR FRANCE-KLM,EUR,EUR,Airlines,Airlines,"Consumer, Cyclical",FRANCE,EUR,8.059,7.964,2197327,8.081,8.083,8.08,15.44,07-Jan-2015,15-Jan-2015,20-Jan-2015,07-Feb-2015,0.255,,Cash
,GME US,GAMESTOP CORP-CLASS A,TRUE,TRUE,100,GME US,36467W109,US36467W1099,B0LLFT5,GME,EQ0175290900001000,BBG000BB5BF6,GME US,FALSE,,,,,USD,2,108515426,1,3788714.5,1.295957804,48087372,0,42.644253396,Equity,United States of America,A,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,GameStop Corp,USD,USD,Retail-Computer Equip,Retail,"Consumer, Cyclical",UNITED STATES,USD,34.06,33.8,1612946,33.8,33.82,33.81,10.49094496,08-Jan-2015,15-Jan-2015,20-Jan-2015,08-Feb-2015,0.33,,Cash
,QIHU US,QIHOO 360 TECHNOLOGY CO-ADR,TRUE,TRUE,100,QIHU US,74734M109,US74734M1099,B4MWN57,QIHU,EQ0000000016977108,BBG001KR2ST0,QIHU KY,FALSE,,,,,USD,2,89415481,1.5,2639901.75,1.278377771,8448916,2.846666,47.545752074,Equity,Cayman Islands,BBB,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,Qihoo 360 Technology Co. Ltd,USD,USD,Internet Security,Internet,Communications,CAYMAN ISLANDS,USD,59.37,59,589097,58.89,58.88,58.82,75.019107503,09-Jan-2015,15-Jan-2015,20-Jan-2015,09-Feb-2015,0.5,,Cash
,DWNI GR,DEUTSCHE WOHNEN AG-BR,TRUE,TRUE,100,DWNI GR,,DE000A0HN5C6,B0YZ0Z5,DWNI,EQ0000000002399907,BBG000GM5V54,DWNI DE,FALSE,,,,,EUR,2,294259979,1,715150.7,0.7474221,0,1.103164,17.34133,Equity,Germany,AA,Euro (EUR),Securities,<7 Days,,,Europe (EEA),,Other listed equity,GERMANY,Eurex Deutschland,DEUTSCHE WOHNEN AG,EUR,EUR,Real Estate Mgmnt/Servic,Real Estate,Financial,GERMANY,EUR,19.685,19.704,929464,19.796,19.789,19.789,14.996969339,10-Jan-2015,15-Jan-2015,20-Jan-2015,10-Feb-2015,0.34,,Cash
